Episode;DateEpisode;TotalCases;Imported;Mechanism;DateOneCase;DateMoreOneCase;DateImported;DateMoreFiveCases;VIM;KPC;OXA48;NDM;Department;Region
159;12/12/2011;1;O;OXA-48  ;12/12/2011;;12/12/2011;;;;12/12/2011;;69;Auvergne-Rhone-Alpes
160;14/12/2011;1;N;OXA-48  ;14/12/2011;;;;;;14/12/2011;;94;Ile-de-France
161;16/12/2011;1;O;OXA-181  ;16/12/2011;;16/12/2011;;;;;;974;La Reunion
162;01/01/2012;8;N;OXA-48  ;;01/01/2012;;01/01/2012;;;01/01/2012;;26;Auvergne-Rhone-Alpes
163;05/01/2012;1;O;OXA-48  ;05/01/2012;;05/01/2012;;;;05/01/2012;;94;Ile-de-France
164;10/01/2012;2;O;OXA-48  ;;10/01/2012;10/01/2012;;;;10/01/2012;;93;Ile-de-France
165;16/01/2012;1;O;OXA-181 NDM-1 ;16/01/2012;;16/01/2012;;;;;16/01/2012;91;Ile-de-France
166;17/01/2012;1;N;OXA-48  ;17/01/2012;;;;;;17/01/2012;;33;Nouvelle-Aquitaine
167;18/01/2012;2;O;OXA-162  ;;18/01/2012;18/01/2012;;;;;;94;Ile-de-France
168;19/01/2012;1;N;OXA-48  ;19/01/2012;;;;;;19/01/2012;;63;Auvergne-Rhone-Alpes
169;20/01/2012;1;O;OXA-48  ;20/01/2012;;20/01/2012;;;;20/01/2012;;94;Ile-de-France
170;21/01/2012;1;O;OXA-48  ;21/01/2012;;21/01/2012;;;;21/01/2012;;38;Auvergne-Rhone-Alpes
171;27/01/2012;1;O;OXA-48  ;27/01/2012;;27/01/2012;;;;27/01/2012;;85;Pays de la Loire
172;27/01/2012;1;O;OXA-48  ;27/01/2012;;27/01/2012;;;;27/01/2012;;31;Occitanie
173;30/01/2012;1;O;OXA-48  ;30/01/2012;;30/01/2012;;;;30/01/2012;;13;Provence-Alpes-Cote d'Azur
174;01/02/2012;1;O;NDM-1  ;01/02/2012;;01/02/2012;;;;;01/02/2012;75;Ile-de-France
175;03/02/2012;1;O;OXA-48  ;03/02/2012;;03/02/2012;;;;03/02/2012;;94;Ile-de-France
176;03/02/2012;1;N;OXA-48  ;03/02/2012;;;;;;03/02/2012;;85;Pays de la Loire
177;06/02/2012;1;O;NDM-1  ;06/02/2012;;06/02/2012;;;;;06/02/2012;75;Ile-de-France
178;17/02/2012;1;O;OXA-48  ;17/02/2012;;17/02/2012;;;;17/02/2012;;92;Ile-de-France
179;21/02/2012;1;O;VIM  ;21/02/2012;;21/02/2012;;21/02/2012;;;;94;Ile-de-France
180;21/02/2012;1;O;OXA-48  ;21/02/2012;;21/02/2012;;;;21/02/2012;;91;Ile-de-France
181;22/02/2012;1;N;OXA-48  ;22/02/2012;;;;;;22/02/2012;;92;Ile-de-France
182;01/03/2012;1;O;NDM-1  ;01/03/2012;;01/03/2012;;;;;01/03/2012;83;Provence-Alpes-Cote d'Azur
183;02/03/2012;1;O;KPC  ;02/03/2012;;02/03/2012;;;02/03/2012;;;92;Ile-de-France
184;06/03/2012;1;N;VIM  ;06/03/2012;;;;06/03/2012;;;;75;Ile-de-France
185;08/03/2012;1;N;OXA-48  ;08/03/2012;;;;;;08/03/2012;;83;Provence-Alpes-Cote d'Azur
186;09/03/2012;3;N;VIM  ;;09/03/2012;;;09/03/2012;;;;13;Provence-Alpes-Cote d'Azur
187;09/03/2012;1;N;OXA-48  ;09/03/2012;;;;;;09/03/2012;;89;Bourgogne-Franche-Comte
188;12/03/2012;1;O;NDM-1  ;12/03/2012;;12/03/2012;;;;;12/03/2012;974;La Reunion
189;14/03/2012;2;O;KPC  ;;14/03/2012;14/03/2012;;;14/03/2012;;;69;Auvergne-Rhone-Alpes
190;14/03/2012;1;O;OXA-48  ;14/03/2012;;14/03/2012;;;;14/03/2012;;28;Centre-Val de Loire
191;14/03/2012;1;N;GES-6  ;14/03/2012;;;;;;;;31;Occitanie
192;16/03/2012;1;N;OXA-48  ;16/03/2012;;;;;;16/03/2012;;78;Ile-de-France
193;22/03/2012;1;O;OXA-48  ;22/03/2012;;22/03/2012;;;;22/03/2012;;18;Centre-Val de Loire
194;28/03/2012;1;O;NDM-1  ;28/03/2012;;28/03/2012;;;;;28/03/2012;83;Provence-Alpes-Cote d'Azur
195;28/03/2012;3;N;OXA-48  ;;28/03/2012;;;;;28/03/2012;;57;Grand Est
196;02/04/2012;1;N;OXA-48  ;02/04/2012;;;;;;02/04/2012;;75;Ile-de-France
197;03/04/2012;1;O;NDM-1  ;03/04/2012;;03/04/2012;;;;;03/04/2012;75;Ile-de-France
198;06/04/2012;1;O;OXA-48  ;06/04/2012;;06/04/2012;;;;06/04/2012;;93;Ile-de-France
199;09/04/2012;2;O;OXA-48  ;;09/04/2012;09/04/2012;;;;09/04/2012;;92;Ile-de-France
200;10/04/2012;4;O;OXA-48  ;;10/04/2012;10/04/2012;;;;10/04/2012;;92;Ile-de-France
201;10/04/2012;1;N;NDM-1  ;10/04/2012;;;;;;;10/04/2012;73;Auvergne-Rhone-Alpes
202;10/04/2012;1;N;OXA-48  ;10/04/2012;;;;;;10/04/2012;;75;Ile-de-France
203;11/04/2012;1;O;KPC  ;11/04/2012;;11/04/2012;;;11/04/2012;;;94;Ile-de-France
204;17/04/2012;1;O;OXA-48  ;17/04/2012;;17/04/2012;;;;17/04/2012;;33;Nouvelle-Aquitaine
205;20/04/2012;1;N;OXA-48  ;20/04/2012;;;;;;20/04/2012;;94;Ile-de-France
206;21/04/2012;2;O;OXA-48  ;;21/04/2012;21/04/2012;;;;21/04/2012;;83;Provence-Alpes-Cote d'Azur
207;24/04/2012;1;N;OXA-48  ;24/04/2012;;;;;;24/04/2012;;59;Hauts-de-France
208;28/04/2012;1;N;VIM  ;28/04/2012;;;;28/04/2012;;;;25;Bourgogne-Franche-Comte
209;29/04/2012;1;O;OXA-48  ;29/04/2012;;29/04/2012;;;;29/04/2012;;94;Ile-de-France
210;02/05/2012;1;O;VIM  ;02/05/2012;;02/05/2012;;02/05/2012;;;;93;Ile-de-France
211;02/05/2012;1;N;OXA-48  ;02/05/2012;;;;;;02/05/2012;;77;Ile-de-France
212;03/05/2012;2;O;OXA-48  ;;03/05/2012;03/05/2012;;;;03/05/2012;;94;Ile-de-France
213;04/05/2012;2;O;OXA-48  ;;04/05/2012;04/05/2012;;;;04/05/2012;;94;Ile-de-France
214;09/05/2012;1;O;OXA-48  ;09/05/2012;;09/05/2012;;;;09/05/2012;;75;Ile-de-France
215;13/05/2012;1;O;OXA-48  ;13/05/2012;;13/05/2012;;;;13/05/2012;;34;Occitanie
216;14/05/2012;1;N;OXA-48  ;14/05/2012;;;;;;14/05/2012;;34;Occitanie
217;16/05/2012;1;O;OXA-48  ;16/05/2012;;16/05/2012;;;;16/05/2012;;94;Ile-de-France
218;19/05/2012;1;O;OXA-48  ;19/05/2012;;19/05/2012;;;;19/05/2012;;78;Ile-de-France
219;19/05/2012;1;N;OXA-48  ;19/05/2012;;;;;;19/05/2012;;67;Grand Est
220;20/05/2012;1;O;KPC  ;20/05/2012;;20/05/2012;;;20/05/2012;;;94;Ile-de-France
221;21/05/2012;1;O;KPC  ;21/05/2012;;21/05/2012;;;21/05/2012;;;94;Ile-de-France
222;21/05/2012;1;O;OXA-48  ;21/05/2012;;21/05/2012;;;;21/05/2012;;68;Grand Est
223;21/05/2012;1;O;KPC  ;21/05/2012;;21/05/2012;;;21/05/2012;;;51;Grand Est
224;22/05/2012;3;N;KPC  ;;22/05/2012;;;;22/05/2012;;;94;Ile-de-France
225;25/05/2012;1;O;OXA-48  ;25/05/2012;;25/05/2012;;;;25/05/2012;;75;Ile-de-France
226;25/05/2012;1;O;OXA-48  ;25/05/2012;;25/05/2012;;;;25/05/2012;;34;Occitanie
227;25/05/2012;1;N;OXA-48  ;25/05/2012;;;;;;25/05/2012;;83;Provence-Alpes-Cote d'Azur
228;27/05/2012;1;O;KPC  ;27/05/2012;;27/05/2012;;;27/05/2012;;;92;Ile-de-France
229;27/05/2012;1;O;OXA-48  ;27/05/2012;;27/05/2012;;;;27/05/2012;;75;Ile-de-France
230;01/06/2012;1;O;OXA-48  ;01/06/2012;;01/06/2012;;;;01/06/2012;;94;Ile-de-France
231;06/06/2012;5;N;OXA-48  ;;06/06/2012;;;;;06/06/2012;;37;Centre-Val de Loire
232;07/06/2012;2;N;OXA-48  ;;07/06/2012;;;;;07/06/2012;;83;Provence-Alpes-Cote d'Azur
233;09/06/2012;1;O;OXA-48  ;09/06/2012;;09/06/2012;;;;09/06/2012;;50;Normandie
234;09/06/2012;1;N;OXA-48  ;09/06/2012;;;;;;09/06/2012;;94;Ile-de-France
235;12/06/2012;1;O;KPC  ;12/06/2012;;12/06/2012;;;12/06/2012;;;69;Auvergne-Rhone-Alpes
236;14/06/2012;1;O;OXA-48  ;14/06/2012;;14/06/2012;;;;14/06/2012;;92;Ile-de-France
237;15/06/2012;1;N;KPC  ;15/06/2012;;;;;15/06/2012;;;93;Ile-de-France
238;18/06/2012;1;O;OXA-48  ;18/06/2012;;18/06/2012;;;;18/06/2012;;34;Occitanie
239;18/06/2012;14;N;OXA-48  ;;18/06/2012;;18/06/2012;;;18/06/2012;;83;Provence-Alpes-Cote d'Azur
